StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_13,Q10_15,Q10_16,Q10_17,Q10_18,Q10_19,Q10_22,Q10_23,Q10_27,Q10_29,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_15,Q11_16,Q11_17,Q11_18,Q11_19,Q11_22,Q11_23,Q11_27,Q11_29,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q21_9,Q21_10,Q21_11,Q21_12,Q21_13,Q21_14,Q21_15,Q21_16,Q21_17,Q21_18,Q21_19,Q21_20,Q26
2017-07-18 14:28:39,2017-07-18 14:39:42,IP Address,66.69.207.168,100,662,True,2017-07-18 14:39:43,R_3fBkWZ6zvyw12Er,,,,,29.989303588867,-97.857200622559,anonymous,EN,Woman,42,78610,Lord Voldemort (Tom Riddle),Neville Longbottom,Severus Snape,True,8,21,14,12,20,3,2,9,19,16,15,4,13,5,7,6,17,10,11,18,1,Aggressive,Extremely Aggressive,Aggressive,Aggressive,Extremely Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Extremely Aggressive,Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Aggressive,Aggressive,Aggressive,Extremely Aggressive,Non-Aggressive,Yes,Yes,Lord Voldemort kills Harry's parents,"Harry kills basilisk and uses basilisk's fang to puncture Tom Riddle's diary, destroying Tom Riddle (younger “memory” of Voldemort) ","Professor Lupin turns into a werewolf and Sirius Black takes animagus form to protect Harry, Ron and Hermonine from Lupin’s attack","The Graveyard scene: Peter Pettigrew (Wormtail) kills Cedric Diggory, Voldemort returns and tries to kill Harry",Bellatrix kills Sirius Black,"Harry and Dumbledore fight Voldemort's the Inferi ",Voldemort kills Snape to take possession of Dumbledore's wand / Neville kills Nagini / fight against Hogwarts scene,20,1,5,18,9,4,6,14,17,15,2,10,11,8,7,16,12,19,13,3,4 - Very familiar - #TeamGryffindor
2017-07-18 14:37:52,2017-07-18 14:47:03,IP Address,73.66.141.26,100,551,True,2017-07-18 14:47:04,R_3PY49Zoh8BRpNkq,,,,,38.585601806641,-121.37770080566,anonymous,EN,Woman,34,95673,Bellatrix Lestrange,Rubeus Hagrid,Minerva McGonagall,True,11,21,14,5,20,12,10,6,18,19,3,1,15,4,2,7,16,13,9,17,8,Aggressive,Extremely Aggressive,Aggressive,,Extremely Aggressive,Non-Aggressive,,Non-Aggressive,Aggressive,Aggressive,,Extremely Non-Aggressive,Extremely Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Non-Aggressive,Extremely Non-Aggressive,Non-Aggressive,Aggressive,,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Non-Aggressive,Maybe/Unsure,Yes,Lord Voldemort kills Harry's parents,"The Dursleys imprison Harry in his room for the summer ",Buckbeak's execution/Hermione punches Draco,After the Quidditch tournament a crowd of Death Eaters destroys tents and levitates four Muggles,Dolores Umbridge punishes Harry by use of the Black Quill,"Harry and Dumbledore fight Voldemort's the Inferi ","Death Eaters attack Harry and his friends ",18,12,3,20,7,4,5,10,19,9,15,11,14,1,13,2,8,17,6,16,5 - Super fan - I'm basically waiting on my Hogwarts letter.
2017-07-18 14:13:21,2017-07-18 14:47:48,IP Address,104.38.146.64,100,2066,True,2017-07-18 14:47:48,R_2rIYcshFanROIVH,,,,,40.802001953125,-77.856399536133,anonymous,EN,Woman,43,16801,Lord Voldemort (Tom Riddle),Ron Weasley,Harry Potter,True,9,21,15,13,17,1,4,7,16,18,8,3,12,6,5,10,20,14,11,19,2,Neither Non-Aggressive Nor Aggressive,Extremely Aggressive,Aggressive,Aggressive,Extremely Aggressive,Extremely Non-Aggressive,Non-Aggressive,Non-Aggressive,Aggressive,Extremely Aggressive,Neither Non-Aggressive Nor Aggressive,Non-Aggressive,Extremely Non-Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Non-Aggressive,Non-Aggressive,Extremely Aggressive,Aggressive,Aggressive,Extremely Aggressive,Extremely Non-Aggressive,Yes,Yes,Lord Voldemort kills Harry's parents,"Harry kills basilisk and uses basilisk's fang to puncture Tom Riddle's diary, destroying Tom Riddle (younger “memory” of Voldemort) ","Professor Lupin turns into a werewolf and Sirius Black takes animagus form to protect Harry, Ron and Hermonine from Lupin’s attack","The Graveyard scene: Peter Pettigrew (Wormtail) kills Cedric Diggory, Voldemort returns and tries to kill Harry",Bellatrix kills Sirius Black,Snape kills Dumbledore,Voldemort kills Snape to take possession of Dumbledore's wand / Neville kills Nagini / fight against Hogwarts scene,20,5,6,19,14,2,4,7,17,8,9,3,11,15,1,12,13,18,16,10,4 - Very familiar - #TeamGryffindor
2017-07-18 14:49:42,2017-07-18 14:57:20,IP Address,174.223.128.248,100,458,True,2017-07-18 14:57:21,R_2wKvydC6vgCkfWb,,,,,32.481399536133,-84.903297424316,anonymous,EN,Woman,36,31909,Lord Voldemort (Tom Riddle),Minerva McGonagall,Harry Potter,True,8,21,14,9,20,5,2,6,16,11,12,4,18,1,7,10,19,13,15,17,3,Neither Non-Aggressive Nor Aggressive,Extremely Aggressive,Aggressive,Aggressive,Extremely Aggressive,Non-Aggressive,Extremely Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Aggressive,Aggressive,Extremely Non-Aggressive,Non-Aggressive,Aggressive,Extremely Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Extremely Aggressive,Aggressive,Aggressive,Aggressive,Non-Aggressive,Yes,Yes,Lord Voldemort kills Harry's parents,"The Dursleys imprison Harry in his room for the summer ",Harry's encounter with dementors on the train,"The Graveyard scene: Peter Pettigrew (Wormtail) kills Cedric Diggory, Voldemort returns and tries to kill Harry",Bellatrix kills Sirius Black,"Harry and Dumbledore fight Voldemort's the Inferi ",Voldemort kills Snape to take possession of Dumbledore's wand / Neville kills Nagini / fight against Hogwarts scene,20,13,12,19,4,1,2,5,18,14,16,3,15,10,6,8,7,17,9,11,5 - Super fan - I'm basically waiting on my Hogwarts letter.
2017-07-18 14:43:32,2017-07-18 14:58:36,IP Address,24.148.75.165,100,904,True,2017-07-18 14:58:36,R_5yHYxTvnl98W241,,,,,41.955993652344,-87.660697937012,anonymous,EN,Woman,49,60613,Lord Voldemort (Tom Riddle),"Other ",Harry Potter,True,10,21,4,11,19,5,6,9,7,18,15,8,20,2,1,13,17,14,12,16,3,Aggressive,Extremely Aggressive,Aggressive,Aggressive,Extremely Aggressive,Aggressive,Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Aggressive,Aggressive,Non-Aggressive,Non-Aggressive,Extremely Aggressive,Non-Aggressive,Extremely Non-Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Extremely Aggressive,Non-Aggressive,Yes,Yes,Lord Voldemort kills Harry's parents,Ron and Harry almost being killed by the Whomping Willow and Aragog’s colony of giant spiders in the Forbidden Forest,Harry's encounter with dementors on the train,"The Graveyard scene: Peter Pettigrew (Wormtail) kills Cedric Diggory, Voldemort returns and tries to kill Harry",Bellatrix kills Sirius Black,Snape kills Dumbledore,Voldemort kills Snape to take possession of Dumbledore's wand / Neville kills Nagini / fight against Hogwarts scene,1,2,3,20,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,4 - Very familiar - #TeamGryffindor
2017-07-18 14:39:24,2017-07-18 15:06:02,IP Address,71.185.19.233,100,1597,True,2017-07-18 15:06:02,R_1Gwst7yu0fQXdeU,,,,,39.602493286133,-75.69450378418,anonymous,EN,Woman,33,19701,Bellatrix Lestrange,"Other ",Minerva McGonagall,True,8,19,7,13,21,5,4,11,20,16,6,3,17,12,1,9,18,10,14,15,2,Neither Non-Aggressive Nor Aggressive,Extremely Aggressive,Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Aggressive,Non-Aggressive,Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Aggressive,Non-Aggressive,Extremely Non-Aggressive,Extremely Non-Aggressive,Aggressive,Aggressive,Extremely Non-Aggressive,Non-Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Aggressive,Extremely Non-Aggressive,Yes,Maybe/Unsure,"Harry encounters Professor Quirrell/Voldemort, Quirrell is ordered by Voldemort to kill Harry ","The Dursleys imprison Harry in his room for the summer ",Buckbeak's execution/Hermione punches Draco,"The Graveyard scene: Peter Pettigrew (Wormtail) kills Cedric Diggory, Voldemort returns and tries to kill Harry",Dolores Umbridge punishes Harry by use of the Black Quill,"Harry and Dumbledore fight Voldemort's the Inferi ",Voldemort kills Snape to take possession of Dumbledore's wand / Neville kills Nagini / fight against Hogwarts scene,20,3,6,19,7,2,4,9,18,8,13,14,15,12,1,11,5,16,10,17,5 - Super fan - I'm basically waiting on my Hogwarts letter.
2017-07-18 15:10:26,2017-07-18 15:20:29,IP Address,73.233.21.149,100,603,True,2017-07-18 15:20:29,R_3CJh05fk1S8OoWo,,,,,39.959396362305,-75.272796630859,anonymous,EN,Woman,30,19026,Bellatrix Lestrange,Neville Longbottom,Harry Potter,False,8,20,10,11,21,7,6,12,19,18,13,2,17,5,3,4,16,9,14,15,1,Aggressive,Extremely Aggressive,Aggressive,Aggressive,Extremely Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Extremely Aggressive,Extremely Aggressive,Aggressive,Extremely Non-Aggressive,Extremely Non-Aggressive,Extremely Aggressive,Non-Aggressive,Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Extremely Non-Aggressive,Yes,Yes,Lord Voldemort kills Harry's parents,"The Dursleys imprison Harry in his room for the summer ",Harry's encounter with dementors on the train,"The Graveyard scene: Peter Pettigrew (Wormtail) kills Cedric Diggory, Voldemort returns and tries to kill Harry",Dumbledore duels Voldemort,"Harry and Dumbledore fight Voldemort's the Inferi ",Voldemort kills Snape to take possession of Dumbledore's wand / Neville kills Nagini / fight against Hogwarts scene,20,6,7,18,5,1,12,8,17,9,16,10,15,13,4,2,11,19,14,3,5 - Super fan - I'm basically waiting on my Hogwarts letter.
2017-07-18 15:18:30,2017-07-18 15:29:19,IP Address,134.181.174.94,100,649,True,2017-07-18 15:29:20,R_2ClYykxQfkcGOhB,,,,,44.084503173828,-70.16960144043,anonymous,EN,Woman,47,56263,Bellatrix Lestrange,Remus Lupin,Neville Longbottom,True,10,19,13,9,21,3,14,11,17,20,6,7,18,5,2,1,16,12,15,8,4,Aggressive,Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Aggressive,Non-Aggressive,Aggressive,Aggressive,Extremely Aggressive,Extremely Aggressive,Neither Non-Aggressive Nor Aggressive,Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Yes,Maybe/Unsure,"Harry encounters Professor Quirrell/Voldemort, Quirrell is ordered by Voldemort to kill Harry ","Harry kills basilisk and uses basilisk's fang to puncture Tom Riddle's diary, destroying Tom Riddle (younger “memory” of Voldemort) ","Professor Lupin turns into a werewolf and Sirius Black takes animagus form to protect Harry, Ron and Hermonine from Lupin’s attack","The Triwizard tournament tasks, which involve dangerous tasks with no assistance  ",Bellatrix kills Sirius Black,Bellatrix accusing Narcissa's husband (Lucius Malfoy) of allowing Harry to live,Voldemort kills Snape to take possession of Dumbledore's wand / Neville kills Nagini / fight against Hogwarts scene,20,14,15,19,13,9,5,7,17,1,4,11,12,6,3,2,16,18,10,8,5 - Super fan - I'm basically waiting on my Hogwarts letter.
2017-07-18 15:21:24,2017-07-18 15:35:41,IP Address,70.210.150.221,100,857,True,2017-07-18 15:35:41,R_2xWNTHR6RivsHvy,,,,,45.620101928711,-122.57749938965,anonymous,EN,Woman,35,97217,Bellatrix Lestrange,Remus Lupin,Severus Snape,False,4,20,9,12,21,5,6,7,16,14,11,3,13,10,8,2,19,15,18,17,1,Non-Aggressive,Extremely Aggressive,Aggressive,Aggressive,Extremely Aggressive,Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Extremely Aggressive,Extremely Aggressive,Aggressive,Non-Aggressive,Non-Aggressive,Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Non-Aggressive,Extremely Aggressive,Aggressive,Extremely Aggressive,Aggressive,Extremely Non-Aggressive,Maybe/Unsure,Yes,Lord Voldemort kills Harry's parents,"The Dursleys imprison Harry in his room for the summer ",Buckbeak's execution/Hermione punches Draco,After the Quidditch tournament a crowd of Death Eaters destroys tents and levitates four Muggles,Dolores Umbridge punishes Harry by use of the Black Quill,Bellatrix accusing Narcissa's husband (Lucius Malfoy) of allowing Harry to live,Voldemort kills Snape to take possession of Dumbledore's wand / Neville kills Nagini / fight against Hogwarts scene,20,7,5,19,2,3,4,6,8,9,16,12,18,11,1,10,13,17,14,15,4 - Very familiar - #TeamGryffindor
2017-07-18 15:19:28,2017-07-18 15:35:56,IP Address,130.68.183.3,100,987,True,2017-07-18 15:35:56,R_1Io1LxfzoSuBLy9,,,,,40.846694946289,-74.199996948242,anonymous,EN,Man,22,07644,Bellatrix Lestrange,Neville Longbottom,Harry Potter,True,12,2,7,9,1,13,14,10,6,4,15,19,3,16,20,17,8,18,11,5,21,Aggressive,Extremely Aggressive,Aggressive,Aggressive,Extremely Aggressive,Aggressive,Aggressive,Aggressive,Extremely Aggressive,Extremely Aggressive,Non-Aggressive,Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Aggressive,Neither Non-Aggressive Nor Aggressive,Non-Aggressive,Non-Aggressive,Aggressive,Aggressive,Aggressive,Extremely Aggressive,Non-Aggressive,Yes,Yes,"Harry encounters Professor Quirrell/Voldemort, Quirrell is ordered by Voldemort to kill Harry ",Ron and Harry almost being killed by the Whomping Willow and Aragog’s colony of giant spiders in the Forbidden Forest,Harry's encounter with dementors on the train,"The Graveyard scene: Peter Pettigrew (Wormtail) kills Cedric Diggory, Voldemort returns and tries to kill Harry",Bellatrix kills Sirius Black,Snape kills Dumbledore,Voldemort kills Snape to take possession of Dumbledore's wand / Neville kills Nagini / fight against Hogwarts scene,1,4,9,8,10,20,11,12,7,6,13,14,3,15,16,17,18,19,5,2,5 - Super fan - I'm basically waiting on my Hogwarts letter.
2017-07-18 15:25:30,2017-07-18 15:38:15,IP Address,50.242.67.246,100,765,True,2017-07-18 15:38:16,R_3KBkjccZ8NYqRi9,,,,,37.514892578125,-122.50329589844,anonymous,EN,Woman,44,94901,Bellatrix Lestrange,Rubeus Hagrid,"Other ",False,10,20,6,8,21,5,4,11,18,13,14,3,12,1,2,7,19,15,16,17,9,Aggressive,Extremely Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Aggressive,Extremely Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Non-Aggressive,Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Aggressive,Extremely Aggressive,Extremely Aggressive,Aggressive,Aggressive,Maybe/Unsure,Yes,"Harry encounters Professor Quirrell/Voldemort, Quirrell is ordered by Voldemort to kill Harry ","The Dursleys imprison Harry in his room for the summer ","Professor Lupin turns into a werewolf and Sirius Black takes animagus form to protect Harry, Ron and Hermonine from Lupin’s attack","The Graveyard scene: Peter Pettigrew (Wormtail) kills Cedric Diggory, Voldemort returns and tries to kill Harry",Dolores Umbridge punishes Harry by use of the Black Quill,Snape kills Dumbledore,Voldemort kills Snape to take possession of Dumbledore's wand / Neville kills Nagini / fight against Hogwarts scene,20,5,6,19,14,2,3,9,17,8,15,10,7,12,1,4,13,18,11,16,4 - Very familiar - #TeamGryffindor
2017-07-18 15:43:47,2017-07-18 15:50:19,IP Address,68.206.2.237,100,392,True,2017-07-18 15:50:19,R_31usqXcDy1skGq9,,,,,30.102798461914,-94.174003601074,anonymous,EN,Woman,42,77706,Dolores Umbridge,Hermione Granger,Neville Longbottom,False,10,19,11,13,17,5,1,15,16,14,8,4,18,6,3,7,21,9,12,20,2,Neither Non-Aggressive Nor Aggressive,Extremely Aggressive,Aggressive,Aggressive,Extremely Aggressive,Non-Aggressive,Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Non-Aggressive,Extremely Non-Aggressive,Extremely Non-Aggressive,Aggressive,Aggressive,Extremely Non-Aggressive,Aggressive,Extremely Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Aggressive,Non-Aggressive,Yes,Yes,"Harry encounters Professor Quirrell/Voldemort, Quirrell is ordered by Voldemort to kill Harry ","The Dursleys imprison Harry in his room for the summer ",Harry's encounter with dementors on the train,"The Graveyard scene: Peter Pettigrew (Wormtail) kills Cedric Diggory, Voldemort returns and tries to kill Harry",Dolores Umbridge punishes Harry by use of the Black Quill,Bellatrix accusing Narcissa's husband (Lucius Malfoy) of allowing Harry to live,Voldemort kills Snape to take possession of Dumbledore's wand / Neville kills Nagini / fight against Hogwarts scene,20,1,2,16,4,3,9,7,10,5,11,12,14,13,6,8,15,17,18,19,4 - Very familiar - #TeamGryffindor
2017-07-18 15:38:36,2017-07-18 15:52:17,IP Address,173.196.57.138,100,820,True,2017-07-18 15:52:18,R_2EvhVRzhzmJaUIy,,,,,32.807205200195,-117.1649017334,anonymous,EN,Woman,35,92123,Bellatrix Lestrange,"Other ",Hermione Granger,True,7,3,8,6,1,18,19,15,2,13,9,16,4,17,11,21,5,14,10,12,20,Aggressive,Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Aggressive,Neither Non-Aggressive Nor Aggressive,Non-Aggressive,Aggressive,Extremely Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Non-Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Non-Aggressive,Yes,Maybe/Unsure,"Harry encounters Professor Quirrell/Voldemort, Quirrell is ordered by Voldemort to kill Harry ",Ron and Harry almost being killed by the Whomping Willow and Aragog’s colony of giant spiders in the Forbidden Forest,Buckbeak's execution/Hermione punches Draco,After the Quidditch tournament a crowd of Death Eaters destroys tents and levitates four Muggles,Dolores Umbridge punishes Harry by use of the Black Quill,Snape kills Dumbledore,Voldemort kills Snape to take possession of Dumbledore's wand / Neville kills Nagini / fight against Hogwarts scene,20,3,9,19,5,2,6,7,15,1,13,14,16,11,4,8,10,18,12,17,5 - Super fan - I'm basically waiting on my Hogwarts letter.
2017-07-18 15:44:36,2017-07-18 15:53:52,IP Address,70.174.128.200,100,555,True,2017-07-18 15:53:52,R_24fb5VCKPR2n0jS,,,,,38.838104248047,-77.212097167969,anonymous,EN,Woman,31,22180,Dolores Umbridge,Remus Lupin,Neville Longbottom,True,12,3,11,5,2,18,15,8,9,6,10,19,4,14,13,21,1,16,17,7,20,Aggressive,Extremely Aggressive,Extremely Aggressive,Aggressive,Extremely Aggressive,Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Non-Aggressive,Aggressive,Aggressive,Extremely Non-Aggressive,Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Non-Aggressive,Extremely Aggressive,Aggressive,Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Yes,Maybe/Unsure,Lord Voldemort kills Harry's parents,"Harry kills basilisk and uses basilisk's fang to puncture Tom Riddle's diary, destroying Tom Riddle (younger “memory” of Voldemort) ",Buckbeak's execution/Hermione punches Draco,"The Graveyard scene: Peter Pettigrew (Wormtail) kills Cedric Diggory, Voldemort returns and tries to kill Harry",Dolores Umbridge punishes Harry by use of the Black Quill,Bellatrix accusing Narcissa's husband (Lucius Malfoy) of allowing Harry to live,"Death Eaters attack Harry and his friends ",2,10,8,1,9,12,15,13,3,14,16,6,5,7,17,18,19,4,11,20,4 - Very familiar - #TeamGryffindor
2017-07-18 15:51:47,2017-07-18 16:01:41,IP Address,192.175.17.15,100,594,True,2017-07-18 16:01:42,R_z2wUmBdOcVXrFwR,,,,,41.863204956055,-87.61979675293,anonymous,EN,Woman,39,60302,Bellatrix Lestrange,"Other ",Hermione Granger,False,11,20,12,10,21,4,6,5,16,18,9,1,13,7,8,3,17,14,15,19,2,Aggressive,Extremely Aggressive,Aggressive,Aggressive,Extremely Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Extremely Aggressive,Neither Non-Aggressive Nor Aggressive,,Extremely Non-Aggressive,Aggressive,Non-Aggressive,Non-Aggressive,Non-Aggressive,Aggressive,Aggressive,Aggressive,Extremely Aggressive,Neither Non-Aggressive Nor Aggressive,Yes,Maybe/Unsure,Lord Voldemort kills Harry's parents,"The Dursleys imprison Harry in his room for the summer ",Buckbeak's execution/Hermione punches Draco,"The Graveyard scene: Peter Pettigrew (Wormtail) kills Cedric Diggory, Voldemort returns and tries to kill Harry",Bellatrix kills Sirius Black,Bellatrix accusing Narcissa's husband (Lucius Malfoy) of allowing Harry to live,Voldemort kills Snape to take possession of Dumbledore's wand / Neville kills Nagini / fight against Hogwarts scene,20,6,7,19,11,1,2,10,17,12,15,9,16,4,8,5,13,18,3,14,5 - Super fan - I'm basically waiting on my Hogwarts letter.
2017-07-18 14:02:57,2017-07-18 16:05:46,IP Address,107.77.205.58,100,7369,True,2017-07-18 16:05:46,R_2WI4DCTFOdVWuk9,,,,,47.606201171875,-122.33209991455,anonymous,EN,Woman,37,98103,Bellatrix Lestrange,Minerva McGonagall,Hermione Granger,True,15,21,13,9,19,5,8,2,12,10,11,4,20,1,3,7,14,17,16,18,6,Aggressive,Extremely Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Aggressive,Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Non-Aggressive,Extremely Non-Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Aggressive,Aggressive,Extremely Aggressive,Extremely Non-Aggressive,Maybe/Unsure,Yes,Lord Voldemort kills Harry's parents,"Harry kills basilisk and uses basilisk's fang to puncture Tom Riddle's diary, destroying Tom Riddle (younger “memory” of Voldemort) ",Harry's encounter with dementors on the train,After the Quidditch tournament a crowd of Death Eaters destroys tents and levitates four Muggles,Bellatrix kills Sirius Black,"Harry and Dumbledore fight Voldemort's the Inferi ",Voldemort kills Snape to take possession of Dumbledore's wand / Neville kills Nagini / fight against Hogwarts scene,19,18,14,20,6,1,4,8,7,13,9,3,15,16,11,5,12,17,10,2,4 - Very familiar - #TeamGryffindor
2017-07-18 15:53:46,2017-07-18 16:06:22,IP Address,173.48.121.80,100,756,True,2017-07-18 16:06:22,R_27JAdfEFCz4BIZG,,,,,42.454696655273,-71.150199890137,anonymous,EN,Woman,50,01890,Bellatrix Lestrange,Neville Longbottom,Severus Snape,True,17,19,8,7,21,5,4,6,10,9,11,3,14,16,2,12,18,13,15,20,1,Aggressive,Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Aggressive,Non-Aggressive,Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Non-Aggressive,Aggressive,Extremely Non-Aggressive,Non-Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Extremely Non-Aggressive,Yes,Yes,Lord Voldemort kills Harry's parents,Ron and Harry almost being killed by the Whomping Willow and Aragog’s colony of giant spiders in the Forbidden Forest,Harry's encounter with dementors on the train,After the Quidditch tournament a crowd of Death Eaters destroys tents and levitates four Muggles,Dolores Umbridge punishes Harry by use of the Black Quill,"Harry and Dumbledore fight Voldemort's the Inferi ",Voldemort kills Snape to take possession of Dumbledore's wand / Neville kills Nagini / fight against Hogwarts scene,20,1,6,19,8,3,7,9,14,2,13,10,11,12,4,15,16,18,17,5,4 - Very familiar - #TeamGryffindor
2017-07-18 15:54:01,2017-07-18 16:13:23,IP Address,24.8.222.29,100,1161,True,2017-07-18 16:13:23,R_3hGsp5yqjgZC0rQ,,,,,39.660293579102,-104.76809692383,anonymous,EN,Woman,34,80016,Draco Malfoy,"Albus Dumbledore ",Minerva McGonagall,False,9,20,21,7,18,5,8,1,17,19,10,3,11,14,2,13,15,4,16,12,6,Aggressive,Extremely Aggressive,Extremely Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Non-Aggressive,Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Non-Aggressive,Aggressive,Aggressive,Non-Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Non-Aggressive,Yes,Yes,Lord Voldemort kills Harry's parents,"The Dursleys imprison Harry in his room for the summer ","Professor Lupin turns into a werewolf and Sirius Black takes animagus form to protect Harry, Ron and Hermonine from Lupin’s attack","The Graveyard scene: Peter Pettigrew (Wormtail) kills Cedric Diggory, Voldemort returns and tries to kill Harry",Dolores Umbridge punishes Harry by use of the Black Quill,Bellatrix accusing Narcissa's husband (Lucius Malfoy) of allowing Harry to live,Voldemort kills Snape to take possession of Dumbledore's wand / Neville kills Nagini / fight against Hogwarts scene,20,14,11,19,4,1,5,6,17,3,15,7,12,9,2,10,8,18,16,13,5 - Super fan - I'm basically waiting on my Hogwarts letter.
